Freq,Impedance,Phase
1.029,3.042,2.536
1.059,3.042,2.536
1.091,3.042,2.536
1.122,3.042,2.536
1.155,3.042,2.536
1.189,3.042,2.536
1.224,3.042,2.536
1.260,3.042,2.536
1.297,3.042,2.536
1.335,3.189,4.494
1.374,3.189,4.494
1.414,3.189,4.494
1.456,3.189,4.494
1.498,3.189,4.494
1.542,3.189,4.494
1.587,3.189,4.494
1.634,3.189,4.494
1.682,3.189,4.494
1.731,3.189,4.494
1.782,3.189,4.494
1.834,3.189,4.494
1.888,3.189,4.494
1.943,3.189,4.494
2.000,3.275,6.348
2.059,3.275,6.348
2.119,3.275,6.348
2.181,3.275,6.348
2.245,3.275,6.348
2.311,3.275,6.348
2.378,3.275,6.348
2.448,3.275,6.348
2.520,3.275,6.348
2.594,3.275,6.348
2.670,3.303,8.114
2.748,3.303,8.114
2.828,3.303,8.114
2.911,3.303,8.114
2.997,3.303,8.114
3.084,3.303,8.114
3.175,3.303,8.114
3.268,3.303,8.114
3.364,3.345,10.049
3.462,3.345,10.049
3.564,3.345,10.049
3.668,3.345,10.049
3.775,3.345,10.049
3.886,3.345,10.049
4.000,3.395,11.907
4.117,3.395,11.907
4.238,3.395,11.907
4.362,3.395,11.907
4.490,3.395,11.907
4.621,3.395,11.907
4.757,3.447,13.718
4.896,3.447,13.718
5.040,3.447,13.718
5.187,3.447,13.718
5.339,3.506,15.366
5.496,3.506,15.366
5.657,3.506,15.366
5.823,3.506,15.366
5.993,3.565,17.022
6.169,3.565,17.022
6.350,3.565,17.022
6.536,3.565,17.022
6.727,3.630,18.582
6.924,3.630,18.582
7.127,3.630,18.582
7.336,3.690,20.129
7.551,3.690,20.129
7.772,3.690,20.129
8.000,3.756,21.641
8.234,3.756,21.641
8.476,3.756,21.641
8.724,3.821,23.166
8.980,3.821,23.166
9.243,3.821,23.166
9.514,3.892,24.641
9.792,3.892,24.641
10.079,3.969,26.038
10.375,3.969,26.038
10.679,4.058,27.339
10.992,4.058,27.339
11.314,4.155,28.563
11.645,4.155,28.563
11.986,4.264,29.810
12.338,4.264,29.810
12.699,4.375,30.941
13.071,4.375,30.941
13.454,4.488,32.090
13.849,4.488,32.090
14.254,4.598,33.142
14.672,4.711,34.243
15.102,4.711,34.243
15.545,4.823,35.184
16.000,4.937,36.169
16.469,4.937,36.169
16.951,5.061,37.090
17.448,5.185,38.045
17.959,5.322,38.927
18.486,5.322,38.927
19.027,5.458,39.875
19.585,5.681,41.157
20.159,5.761,41.570
20.749,5.921,42.351
21.357,6.086,43.067
21.983,6.264,43.733
22.627,6.456,44.400
23.290,6.655,44.918
23.973,6.855,45.403
24.675,7.085,45.912
25.398,7.315,46.328
26.143,7.556,46.646
26.909,7.809,46.962
27.697,8.075,47.230
28.509,8.321,47.157
29.344,8.701,47.231
30.204,9.074,47.436
31.089,9.342,47.607
32.000,9.806,48.220
32.938,10.341,48.493
33.903,10.935,48.570
34.896,11.565,48.343
35.919,12.228,47.904
36.971,12.945,47.398
38.055,13.879,46.301
39.170,15.012,44.799
40.317,15.798,43.608
41.499,16.837,42.010
42.715,18.374,39.415
43.967,20.100,36.014
45.255,21.904,31.606
46.581,23.525,26.205
47.946,24.692,20.637
49.351,25.825,15.341
50.797,26.904,9.684
52.285,27.950,3.489
53.817,28.507,-5.921
55.394,27.894,-15.477
57.018,26.710,-22.303
58.688,24.435,-30.650
60.408,22.444,-35.984
62.178,20.525,-40.254
64.000,18.801,-43.410
65.875,16.980,-46.223
67.806,15.442,-48.283
69.792,14.148,-49.838
71.838,13.068,-51.012
73.943,12.171,-51.844
76.109,11.393,-52.321
78.339,10.629,-52.432
80.635,10.055,-52.229
82.998,9.465,-51.804
85.430,8.922,-51.278
87.933,8.439,-50.717
90.510,7.955,-50.012
93.162,7.535,-49.253
95.892,7.133,-48.392
98.701,6.818,-47.692
101.594,6.526,-46.986
104.571,6.276,-46.211
107.635,6.079,-45.187
110.789,5.882,-43.665
114.035,5.688,-42.056
117.377,5.473,-40.452
120.816,5.268,-39.059
124.356,5.074,-37.671
128.000,4.926,-36.478
131.751,4.785,-35.176
135.611,4.650,-33.663
139.585,4.559,-32.197
143.675,4.464,-30.499
147.885,4.359,-28.836
152.219,4.250,-27.267
156.679,4.167,-25.758
161.270,4.107,-24.285
165.995,4.041,-22.775
170.860,3.979,-21.317
175.866,3.925,-19.688
181.019,3.878,-18.172
186.324,3.831,-16.697
191.783,3.789,-15.055
197.403,3.759,-13.501
203.187,3.735,-12.019
209.141,3.714,-10.485
215.269,3.698,-8.948
221.577,3.685,-7.486
228.070,3.677,-6.009
234.753,3.672,-4.577
241.632,3.671,-3.169
248.712,3.674,-1.715
256.000,3.682,-0.356
263.501,3.690,1.021
271.223,3.704,2.424
279.170,3.719,3.650
287.350,3.739,5.004
295.770,3.760,6.276
304.437,3.782,7.504
313.358,3.809,8.798
322.540,3.839,10.039
331.991,3.873,11.245
341.719,3.909,12.378
351.732,3.947,13.555
362.039,3.986,14.669
372.647,4.028,15.775
383.567,4.075,16.883
394.806,4.124,17.980
406.375,4.174,19.027
418.282,4.225,20.007
430.539,4.282,21.039
443.155,4.341,22.020
456.140,4.399,22.957
469.506,4.459,23.896
483.264,4.524,24.854
497.424,4.593,25.769
512.000,4.663,26.643
527.003,4.736,27.498
542.445,4.815,28.342
558.340,4.897,29.182
574.701,4.985,29.987
591.541,5.076,30.717
608.874,5.163,31.270
626.715,5.237,31.788
645.080,5.303,32.449
663.982,5.383,33.278
683.438,5.477,34.099
703.464,5.576,34.839
724.077,5.679,35.506
745.294,5.784,36.112
767.133,5.891,36.663
789.612,5.995,37.172
812.749,6.090,37.671
836.565,6.186,38.227
861.078,6.285,38.839
886.309,6.392,39.461
912.280,6.507,40.069
939.012,6.628,40.641
966.527,6.752,41.191
994.849,6.878,41.709
1024.000,7.006,42.218
1054.005,7.140,42.743
1084.890,7.276,43.255
1116.680,7.414,43.722
1149.401,7.556,44.160
1183.081,7.701,44.612
1217.748,7.850,45.043
1253.431,8.004,45.464
1290.159,8.161,45.872
1327.964,8.322,46.252
1366.876,8.485,46.624
1406.929,8.653,46.988
1448.155,8.825,47.337
1490.589,8.999,47.651
1534.266,9.174,47.975
1579.224,9.351,48.298
1625.499,9.536,48.612
1673.129,9.728,48.907
1722.156,9.923,49.187
1772.619,10.122,49.446
1824.561,10.321,49.697
1878.024,10.525,49.938
1933.055,10.731,50.170
1989.697,10.941,50.402
2048.000,11.156,50.640
2108.011,11.376,50.868
2169.780,11.601,51.089
2233.360,11.832,51.286
2298.802,12.067,51.473
2366.162,12.306,51.651
2435.496,12.549,51.826
2506.862,12.791,51.991
2580.318,13.039,52.139
2655.927,13.292,52.287
2733.752,13.548,52.445
2813.857,13.809,52.608
2896.309,14.077,52.771
2981.178,14.353,52.926
3068.533,14.634,53.082
3158.448,14.919,53.228
3250.997,15.211,53.364
3346.259,15.512,53.494
3444.312,15.818,53.621
3545.238,16.131,53.743
3649.121,16.450,53.853
3756.049,16.775,53.954
3866.109,17.107,54.048
3979.395,17.445,54.141
4096.000,17.790,54.222
4216.022,18.142,54.294
4339.561,18.501,54.357
4466.720,18.866,54.406
4597.605,19.231,54.440
4732.325,19.595,54.486
4870.992,19.971,54.552
5013.723,20.359,54.611
5160.637,20.754,54.652
5311.855,21.153,54.689
5467.504,21.560,54.726
5627.714,21.976,54.755
5792.619,22.399,54.779
5962.355,22.826,54.798
6137.066,23.264,54.813
6316.896,23.710,54.816
6501.995,24.162,54.819
6692.518,24.617,54.822
6888.623,25.079,54.826
7090.476,25.550,54.830
7298.242,26.026,54.828
7512.097,26.507,54.824
7732.218,26.998,54.821
7958.790,27.499,54.823
8192.000,28.010,54.822
8432.044,28.529,54.819
8679.122,29.053,54.811
8933.439,29.584,54.802
9195.209,30.122,54.789
9464.649,30.668,54.775
9741.985,31.225,54.759
10027.447,31.793,54.746
10321.273,32.369,54.736
10623.710,32.961,54.700
10935.008,33.533,54.647
11255.428,34.098,54.636
11585.238,34.689,54.671
11924.711,35.311,54.689
12274.132,35.942,54.694
12633.791,36.580,54.696
13003.989,37.226,54.697
13385.035,37.879,54.697
13777.247,38.540,54.700
14180.951,39.213,54.705
14596.485,39.898,54.710
15024.194,40.592,54.714
15464.437,41.295,54.722
15917.579,42.009,54.733
16384.000,42.731,54.748
16864.088,43.461,54.767
17358.243,44.199,54.789
17866.879,44.951,54.817
18390.418,45.719,54.846
18929.299,46.501,54.877
19483.969,47.356,54.933
20054.893,48.821,55.119
20642.546,54.216,55.392
